\displaystyle,
\textstyle,
\scriptstyle,
\scriptscriptstyle,
&,
\hbox,
\mathrm,
\text,
\mathopen{},
{d},d
\!, 
\:, 
\;, 
\ , 
\quad, 
\qquad, 
\\, 
,
\infty,∞
\pi,pi
\deg,°
\ldots, ... 
\cdots, ... 
\dots, ... 
\pm,±
\mp,∓
\cdot,*
\times,*
\div,/
\over,/
\sqrt,√
\log,log
\ln,ln
\sum,sum
\prod,Π
\int,∫
\oint,∮
\lim,limit
\to, to 
\prime,'
\sin,sin
\cos,cos
\tan,tan
\csc,csc
\sec,sec
\cot,cot
\arcsin,arcsin
\arccos,arccos
\arctan,arctan
\arccsc,arccsc
\arcsec,arcsec
\arccot,arccot
\sinh,sinh
\cosh,cosh
\tanh,tanh
,
\approx,≈
\neq,≠
\geq,≥
\leq,≤
\geqslant,⩾
\leqslant,⩽
,
{,(
\left,
\bigl,
\Bigl,
\biggl,
\Biggl,
},)
\right,
\bigr,
\Bigr,
\biggr,
\Biggr,
\bigg,
\Bigg,
\big,
\Big,
\lvert,|
\lVert,‖
\rvert,|
\rVert,‖
\vert,|
\Vert,|
\mid,|
,
